SMILES,NAME
O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,Y6
O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11\C(C(C=CC=C%12)=C%12C%11=O)=C(C#N)/C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,ITIC
O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11/C(C(C=C(F)C(F)=C%12)=C%12C%11=O)=C(C#N)\C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,IT-4f
O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,Y7
O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,BTP-eC9
O=C1C2=C(C=C(C)C=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11\C(C(C=CC(C)=C%12)=C%12C%11=O)=C(C#N)/C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,IT-M
O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)/C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,DTY6
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C4=CC(C(SC(C(SC(/C=C(C5=O)/C(C6=CC(F)=C(F)C=C56)=C(C#N)\C#N)=C7)=C7OCC(CC)CCCC)=C8)=C8C9(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)=C9C=C4C%12=C2C=C(C(SC(/C=C(C%13=O)\C(C%14=CC(F)=C(F)C=C%13%14)=C(C#N)\C#N)=C%15)=C%15OCC(CC)CCCC)S%12)C=C1,IEICO-4F
O=C(N(CC)C(S/1)=S)C1=C\C(C2=NSN=C23)=CC=C3C4=CC(C5(CCCCCCCC)CCCCCCCC)=C(S4)C6=C5C=C(C(SC(C7=CC=C(/C=C(SC(N8CC)=S)/C8=O)C9=NSN=C97)=C%10)=C%10C%11(CCCCCCCC)CCCCCCCC)C%11=C6,o-IDTBR
O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)S6)(C7=CC=C(CCCCCC)S7)C8=C9SC%10=C8SC(/C=C%11\C(C(C=CC=C%12)=C%12C%11=O)=C(C#N)/C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)S%14)C%15=CC=C(CCCCCC)S%15)=C(C#N)/C#N,IT-Th
O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CC(CCCC)CCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CC(CCCC)CCCCCC)=C8C%12=NSN=C6%12,L8-BO
O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCCCC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,BTP-4F-12
O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11\C(C(C=C(Cl)C(Cl)=C%12)=C%12C%11=O)=C(C#N)/C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N,ITIC-4Cl
CCC(CCCC)CC1(CC(CC)CCCC)C(C=C(C2=C(OCCC(CC)CCCC)C=C(/C=C3C(C(C=C(F)C(F)=C4)=C4C/3=C(C#N)\C#N)=O)S2)S5)=C5C6=C1C=C(C7=C(OCC(CC)CCCC)C=C(/C=C8/C(C9=CC(F)=C(F)C=C9C8=O)=C(C#N)/C#N)S7)S6,COTIC-4F
CCC(CCCC)CC1(CC(CC)CCCC)C(C=C(C2=C(OCCC(CC)CCCC)C=C(/C=C3C(C(C=C(Cl)C(Cl)=C4)=C4C/3=C(C#N)\C#N)=O)S2)S5)=C5C6=C1C=C(C7=C(OCC(CC)CCCC)C=C(/C=C8/C(C9=CC(Cl)=C(Cl)C=C9C8=O)=C(C#N)/C#N)S7)S6,COTIC-4Cl
O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(SC6=C7SC8=C6C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC%12=C%11SC(/C=C(C(C%13=C%14C=CC=C%13)=O)/C%14=C(C#N)\C#N)=C%12)C7=C%15)=C%15C5(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)=C(C#N)/C#N,6TIC
O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CCC(CC)CCCC)=C(S4)C6=C5C(N(CCC(CC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,N3-Y6N3
O=C1/C(SC(N1CC)=S)=C/C(C2=NSN=C23)=CC=C3C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=CC=C(/C=C(SC(N%12CC)=S)/C%12=O)C%13=NSN=C%13%11)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15,IDT-2Br
O=C1/C(SC(N1CC)=S)=C/C(C2=NSN=C23)=CC=C3C(S4)=CC5=C4C6=CC(C(CC(CC)CCCC)(CC(CC)CCCC)C7=C8SC(C9=CC=C(/C=C(SC(N%10CC)=S)/C%10=O)C%11=NSN=C%119)=C7)=C8C=C6C5(CC(CC)CCCC)CC(CC)CCCC,EH-IDTBR
O=C1/C(SC(N1CC)=S)=C/C(C2=NSN=C23)=CC=C3C4=CC(C(CCCCCCCC)(CCCCCCCC)C5=C6C=CC(C7=CC=C(/C=C(SC(N8CC)=S)/C8=O)C9=NSN=C97)=C5)=C6C=C4,FBR
O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11C(C(C=C(Cl)C(Cl)=C%12)=C%12C\%11=O)=O)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=O,IO-4Cl
CCCCCCC1(CCCCCC)C2=C(SC(/C=C3C(C(C=C(F)C(F)=C4)=C4C\3=C(C#N)/C#N)=O)=C2)C5=CC6=C(C(SC(/C=C7C(C(C=C(F)C(F)=C8)=C8C/7=C(C#N)\C#N)=O)=C9)=C9C6(CCCCCC)CCCCCC)C=C51,IDIC-4F
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(S3)C5=C4C=C(C(SC(/C=C6C(C(C=C(Cl)C(Cl)=C7)=C7C\6=C(C#N)/C#N)=O)=C8)=C8C9(CCCCCCCC)CCCCCCCC)C9=C5,IDIC-4Cl
CCCCCCC1(CCCCCC)C2=C(SC(/C=C3C(C(C=CC=C4)=C4C\3=C(C#N)/C#N)=O)=C2)C5=CC6=C(C(SC(/C=C7C(C(C=CC=C8)=C8C/7=C(C#N)\C#N)=O)=C9)=C9C6(CCCCCC)CCCCCC)C=C51,IDIC
CC1=C(C)C=C(C2=O)C(C(/C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11/C(C(C=C(C)C(C)=C%12)=C%12C%11=O)=C(C#N)\C#N)=C9)C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8)=C(C#N)/C#N)=C1,IT-2M
O=C(C1=CC(Cl)=C(Cl)C=C1C/2=O)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCCCC)CCCC)C7=C8SC9=C7SC(/C=C%10C(C(C=C(Cl)C(Cl)=C%11)=C%11C/%10=O)=O)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,ZY-4Cl
O=C(C1=CC(Br)=CC=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=CC(Br)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,TPT10
O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,BTP-4Cl-12
O=C(C1=CC(Cl)=CC=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=CC(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,eC9-2Cl
O=C(C1=CC=C(Br)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCCCC)CCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Br)C=C%11)=C%11C%10=O)=C(C#N)/C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,TPT10-C8C12
O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC4=C(C(SC5=C6SC7=C5C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C7SC(/C=C%11/C(C%12=CC=CC=C%12C%11=O)=C(C#N)/C#N)=C%10)=C6C4(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S3)=C(C#N)\C#N,IHIC
O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C3=CC(OCC(CC)CCCCC)=C(C4=CC(C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C7=C8C=C9C(C(SC(C%10=C(OCC(CC)CCCCC)C=C(/C=C%11/C(C%12=CC(Cl)=C(Cl)C=C%12C%11=O)=C(C#N)/C#N)S%10)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C7)=C8S4)S3)=C(C#N)\C#N,IEICO-4Cl
O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCC)CCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCC)CCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,BTP-4Cl-16
O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CCCCCCCC)=C(S4)C6=C5C(N(CC(CCCC)CCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,BTP-4Cl-12
O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CC)CCCCCC)=C(S4)C6=C5C(N(CC(CC)CCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,BTP-4Cl-8
O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCC)CCCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCC)CCCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,BTP-4Cl-20
